#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-E	CII2325b	6286.4945	2325.403	EMISSION	-0.2662	0.1894	-4.0592078352e+17	1.04516641609e+16	2.9881e-18	2.1266e-18	-7.5889e-19	1.2858e-18	2.9142	1.0	0.3113	6285.84	0.6625	0.9222	1.7031	0.0003
rcs0327-E	CII2325c	6288.4139	2326.113	EMISSION	-0.5194	0.1911	-4.99310715243e+17	1.58555588044e+16	5.8291e-18	2.1445e-18	-7.5889e-19	1.2858e-18	5.1237	1.0	0.69	6288.0836	0.2859	0.8119	1.7033	0.0001
rcs0327-E	CII2325d	6292.5555	2327.645	EMISSION	-0.5474	0.1527	-4.45054100151e+17	1.12390114268e+16	6.1365e-18	1.7118e-18	-7.5889e-19	1.2858e-18	5.3628	1.0	0.3593	6292.2387	0.3008	1.643	1.7033	0.0001
rcs0327-E	CII2328	6295.7806	2328.838	EMISSION	-0.047	0.0795	-3.80241675521e+17	1.08819578897e+16	5.2657e-19	8.9004e-19	-7.5889e-19	1.2858e-18	0.99976	1.0	0.0624	6296.7588	1.0577	0.8129	1.7038	0.0005
rcs0327-E	[OIII]2331	6301.8957	2331.1	EMISSION	-0.0	0.0759	-2.81478188526e+17	2.73830865042e+16	1.5831e-30	8.4912e-19	-7.5889e-19	1.2858e-18	0.59022	1.0	0.0	6300.9167	0.0	0.8137	1.703	0.0
rcs0327-E	SiII2335a	6312.7715	2335.123	EMISSION	-0.0651	0.7091	-3.62672428229e+17	1.09981075177e+16	7.2553e-19	7.9068e-18	-7.5889e-19	1.2858e-18	1.1545	1.0	0.0861	6312.7688	5.8968	0.8151	1.7034	0.0025
rcs0327-E	SiII2335b	6313.3068	2335.321	EMISSION	-0.033	0.6331	-3.67378020587e+17	1.09923141795e+16	3.6782e-19	7.0532e-18	-7.5889e-19	1.2858e-18	0.87629	1.0	0.035	6314.2876	26.2264	1.0178	1.7038	0.0112
rcs0327-E	OII2470mid	6680.1744	2471.027	EMISSION	-0.9861	0.101	-6.48997902961e+17	1.33351160327e+16	1.0038e-17	1.028e-18	3.5849e-20	9.6855e-19	10.327	1.0	0.7111	6680.1881	0.1155	1.4956	1.7034	0.0
rcs0327-G	CII1334	3606.3066	1334.5323	ISM	1.5392	0.1516	-1.82415344598e+16	6.23714513825e+15	-3.6137e-17	3.5588e-18	4.6737e-19	1.3647e-18	26.822	1.0	-1.0835	3606.1136	0.112	1.5315	1.7022	0.0001
rcs0327-G	CII1335b	3611.4324	1335.663	FINESTR	-0.0	0.4191	-1.44518613275e+17	6.88754255883e+15	1.9283e-28	9.8519e-18	4.6737e-19	1.3647e-18	-0.34247	1.0	0.0	3611.6328	16943744852.1	1.5292	1.704	12685643.6482
